epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1242,1.48561,4.66352,1.47233,0,0,0,0,1.08943,4.47616,1.19993,4.069e-05,4.069e-05,4.069e-05
2,21.3134,1.16164,4.56514,1.27813,0,0,0,0,0.94271,4.39805,1.08014,8.39522e-05,8.39522e-05,8.39522e-05
3,23.2016,1.15321,4.45024,1.20768,0,0,0,0,1.01985,4.22001,1.07347,0.000126636,0.000126636,0.000126636
4,26.3357,1.12345,4.17003,1.16069,0.03014,0.07052,0.02817,0.02412,1.10481,4.04492,1.0833,0.000168741,0.000168741,0.000168741
5,28.0105,1.12597,4.00168,1.14027,0.06451,0.32835,0.08423,0.06791,1.02561,3.88425,1.02234,0.000210268,0.000210268,0.000210268
6,29.7438,1.06881,3.79496,1.11625,0.03625,0.59725,0.11897,0.09444,1.00272,3.63312,1.02958,0.000251217,0.000251217,0.000251217
7,31.4989,1.01878,3.677,1.10427,0.47486,0.12087,0.12371,0.0981,0.98532,3.58387,1.0366,0.000291587,0.000291587,0.000291587
8,33.2051,1.10204,3.61373,1.14837,0.49468,0.12608,0.11273,0.08553,0.99516,3.54122,1.07313,0.000298539,0.000298539,0.000298539
9,34.8033,1.10986,3.60237,1.15991,0.51941,0.13023,0.12265,0.09076,1.03999,3.46059,1.11552,0.000296474,0.000296474,0.000296474
10,36.4685,1.14042,3.40743,1.18096,0.31462,0.17389,0.15864,0.1175,1.01588,3.31604,1.1133,0.000294408,0.000294408,0.000294408
11,38.3605,1.06955,3.3121,1.12349,0.37563,0.17014,0.17986,0.13344,1.02068,3.20825,1.12403,0.000292342,0.000292342,0.000292342
12,40.0803,1.06953,3.12827,1.13558,0.24481,0.2581,0.20514,0.16202,0.98642,2.93646,1.10261,0.000290276,0.000290276,0.000290276
13,41.8555,1.08461,3.08917,1.13763,0.25469,0.31991,0.23489,0.18966,0.99723,2.66684,1.09651,0.00028821,0.00028821,0.00028821
14,43.5626,1.07305,3.0191,1.11316,0.28485,0.30842,0.24804,0.19979,1.00485,2.55191,1.09903,0.000286145,0.000286145,0.000286145
15,45.3047,1.07336,2.90376,1.15432,0.26936,0.33111,0.25953,0.20422,0.9976,2.53685,1.10195,0.000284079,0.000284079,0.000284079
16,47.0184,1.06442,2.71961,1.15231,0.39472,0.31938,0.29109,0.22213,1.02065,2.41282,1.12667,0.000282013,0.000282013,0.000282013
17,48.7757,1.13535,2.79465,1.18907,0.30234,0.35925,0.31204,0.24277,0.97902,2.22159,1.09696,0.000279947,0.000279947,0.000279947
18,50.5293,1.1101,2.61654,1.17482,0.31795,0.37245,0.33669,0.26274,0.9958,2.12095,1.12012,0.000277881,0.000277881,0.000277881
19,52.3823,1.06499,2.53235,1.1528,0.47344,0.32657,0.34669,0.26938,0.99189,2.10235,1.12035,0.000275816,0.000275816,0.000275816
20,54.1414,1.01222,2.329,1.13433,0.60271,0.33175,0.37012,0.28599,1.00397,2.04465,1.12641,0.00027375,0.00027375,0.00027375
21,55.8582,1.02638,2.29141,1.14265,0.26533,0.49336,0.40496,0.31285,0.98608,1.90739,1.12287,0.000271684,0.000271684,0.000271684
22,57.5241,1.04394,2.21151,1.15584,0.32994,0.48701,0.41368,0.32523,0.98512,1.87913,1.13446,0.000269618,0.000269618,0.000269618
23,59.3466,1.04574,2.22234,1.12759,0.33997,0.47498,0.40917,0.32183,0.98316,1.89789,1.13479,0.000267552,0.000267552,0.000267552
24,61.0153,0.98763,2.13894,1.11967,0.43688,0.47724,0.4345,0.33345,0.99195,1.86613,1.14174,0.000265487,0.000265487,0.000265487
25,62.7882,0.97152,2.10509,1.1179,0.59763,0.4212,0.46488,0.36182,0.97149,1.82406,1.12467,0.000263421,0.000263421,0.000263421
26,64.5177,0.97862,2.05786,1.12792,0.42364,0.51168,0.48269,0.38095,0.9591,1.75769,1.11452,0.000261355,0.000261355,0.000261355
27,66.3252,0.99531,1.97044,1.11622,0.43494,0.50488,0.49383,0.3896,0.96048,1.77568,1.1133,0.000259289,0.000259289,0.000259289
28,68.0525,0.98893,1.83091,1.13811,0.47605,0.47553,0.50085,0.39084,0.96922,1.80814,1.12659,0.000257223,0.000257223,0.000257223
29,69.8413,0.97632,1.848,1.12649,0.43601,0.50878,0.51889,0.40124,0.96821,1.76813,1.12627,0.000255158,0.000255158,0.000255158
30,71.5462,0.91322,1.82632,1.1123,0.48362,0.51903,0.52947,0.41641,0.95873,1.6804,1.12463,0.000253092,0.000253092,0.000253092
31,73.2481,0.99015,1.77998,1.13242,0.49427,0.51576,0.54308,0.42766,0.94722,1.62453,1.11609,0.000251026,0.000251026,0.000251026
32,74.9777,0.95636,1.84092,1.1167,0.47252,0.55008,0.55421,0.4314,0.96329,1.58157,1.12564,0.00024896,0.00024896,0.00024896
33,76.7685,0.95492,1.72044,1.09497,0.47993,0.59543,0.56121,0.43724,0.95379,1.53567,1.12065,0.000246894,0.000246894,0.000246894
34,78.5712,0.94435,1.77781,1.11869,0.53577,0.60975,0.58207,0.45158,0.95239,1.48315,1.11512,0.000244829,0.000244829,0.000244829
35,80.3321,0.92831,1.71713,1.10166,0.53922,0.62012,0.57397,0.44767,0.94174,1.47945,1.11231,0.000242763,0.000242763,0.000242763
36,82.0054,0.91843,1.62361,1.11092,0.54176,0.60548,0.58778,0.4501,0.93099,1.4745,1.10686,0.000240697,0.000240697,0.000240697
37,83.6012,0.92539,1.7659,1.11099,0.51058,0.61697,0.57943,0.44545,0.92723,1.52614,1.10893,0.000238631,0.000238631,0.000238631
38,85.2722,0.95911,1.65337,1.09812,0.50391,0.66781,0.61762,0.47539,0.92354,1.49193,1.09782,0.000236565,0.000236565,0.000236565
39,87.0158,0.90971,1.62211,1.09984,0.50455,0.67291,0.61985,0.47771,0.9236,1.48403,1.09358,0.0002345,0.0002345,0.0002345
40,88.7471,0.93605,1.56321,1.10038,0.53414,0.655,0.62965,0.49147,0.92621,1.45881,1.09257,0.000232434,0.000232434,0.000232434
41,90.6333,0.92885,1.6562,1.10857,0.52209,0.67748,0.64101,0.49335,0.93469,1.46049,1.09003,0.000230368,0.000230368,0.000230368
42,92.4317,0.91042,1.5525,1.08738,0.50373,0.68025,0.64066,0.49655,0.92314,1.4439,1.08227,0.000228302,0.000228302,0.000228302
43,94.1195,0.91178,1.45109,1.08437,0.5668,0.64485,0.64607,0.50151,0.92482,1.42115,1.08411,0.000226236,0.000226236,0.000226236
44,95.8928,0.88302,1.42477,1.07633,0.65457,0.61732,0.64758,0.50311,0.93027,1.40585,1.09427,0.000224171,0.000224171,0.000224171
45,97.6203,0.88801,1.42999,1.07653,0.70401,0.61613,0.66716,0.51489,0.9395,1.37518,1.09622,0.000222105,0.000222105,0.000222105
46,99.3154,0.91222,1.40262,1.08501,0.72495,0.57204,0.66804,0.51558,0.93343,1.37808,1.08925,0.000220039,0.000220039,0.000220039
47,101.08,0.86417,1.39992,1.07615,0.65877,0.60261,0.67472,0.51803,0.937,1.37125,1.09268,0.000217973,0.000217973,0.000217973
48,102.836,0.89156,1.42412,1.10223,0.60394,0.68568,0.69821,0.53802,0.93138,1.30158,1.09421,0.000215907,0.000215907,0.000215907
49,104.727,0.90545,1.34569,1.09916,0.6088,0.67361,0.7049,0.54815,0.92112,1.27479,1.09495,0.000213842,0.000213842,0.000213842
50,106.372,0.89455,1.38365,1.10028,0.60781,0.70493,0.71162,0.54965,0.92059,1.27274,1.08955,0.000211776,0.000211776,0.000211776
