epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.76802,1.58131,4.63216,1.57028,0,0,0,0,1.12491,4.4656,1.20852,4.069e-05,4.069e-05,4.069e-05
2,6.54401,1.33256,4.60522,1.4341,0,0,0,0,0.94141,4.4016,1.07885,8.39522e-05,8.39522e-05,8.39522e-05
3,8.38883,1.21677,4.47616,1.28789,0,0,0,0,0.96633,4.25915,1.04071,0.000126636,0.000126636,0.000126636
4,10.3415,1.18036,4.28549,1.19607,0.02291,0.04299,0.02174,0.01827,1.07551,4.06287,1.05957,0.000168741,0.000168741,0.000168741
5,12.0353,1.19905,4.08846,1.19949,0.04658,0.27355,0.07456,0.06058,1.08806,3.91272,1.05088,0.000210268,0.000210268,0.000210268
6,13.9212,1.19723,3.97872,1.18867,0.03263,0.61112,0.10684,0.08617,1.01192,3.6084,1.02319,0.000251217,0.000251217,0.000251217
7,15.7306,1.12888,3.83138,1.16426,0.62353,0.11025,0.11657,0.09561,1.01318,3.5305,1.03377,0.000291587,0.000291587,0.000291587
8,17.516,1.11846,3.6873,1.16182,0.50563,0.14331,0.12363,0.0994,0.9971,3.37527,1.05401,0.000298539,0.000298539,0.000298539
9,19.4243,1.15153,3.59961,1.18595,0.50844,0.14862,0.12919,0.10038,1.00303,3.382,1.08528,0.000296474,0.000296474,0.000296474
10,21.4178,1.12822,3.4948,1.15926,0.45726,0.14314,0.13917,0.10555,1.01044,3.42513,1.1126,0.000294408,0.000294408,0.000294408
11,23.2035,1.16979,3.39625,1.21577,0.4521,0.1527,0.1425,0.10989,1.00078,3.35783,1.11007,0.000292342,0.000292342,0.000292342
12,25.3135,1.20834,3.4382,1.21191,0.35619,0.23746,0.17439,0.13934,1.00579,3.1088,1.11962,0.000290276,0.000290276,0.000290276
13,27.1323,1.16751,3.21815,1.18424,0.32696,0.24327,0.21385,0.16504,1.03124,2.85847,1.13459,0.00028821,0.00028821,0.00028821
14,28.9087,1.08812,3.0176,1.17577,0.31151,0.26809,0.2415,0.18052,1.04449,2.79954,1.14113,0.000286145,0.000286145,0.000286145
15,30.7428,1.14287,3.02907,1.17052,0.31137,0.25989,0.25364,0.18899,1.0343,2.75779,1.13721,0.000284079,0.000284079,0.000284079
16,32.6195,1.16695,2.8643,1.22152,0.2808,0.33346,0.2906,0.22353,1.00004,2.45671,1.11729,0.000282013,0.000282013,0.000282013
17,34.4936,1.14822,2.88724,1.19998,0.28653,0.39548,0.29911,0.2371,0.99216,2.3138,1.11041,0.000279947,0.000279947,0.000279947
18,36.2572,1.1343,2.77651,1.21435,0.28398,0.39287,0.3097,0.24168,1.00807,2.2726,1.12424,0.000277881,0.000277881,0.000277881
19,38.0703,1.09555,2.61449,1.18015,0.29721,0.40184,0.31999,0.249,1.01809,2.26418,1.12403,0.000275816,0.000275816,0.000275816
