epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.84767,1.58131,4.63216,1.57028,0,0,0,0,1.12491,4.4656,1.20852,4.069e-05,4.069e-05,4.069e-05
2,6.32862,1.33307,4.60539,1.4344,0,0,0,0,0.94061,4.40235,1.07923,8.40917e-05,8.40917e-05,8.40917e-05
3,8.26918,1.21758,4.47378,1.28695,0,0,0,0,0.97308,4.25277,1.04397,0.00012706,0.00012706,0.00012706
4,10.1999,1.18065,4.2817,1.19542,0.02391,0.04002,0.02247,0.01893,1.0955,4.04559,1.06752,0.000169594,0.000169594,0.000169594
1,26.4791,1.39659,4.15426,1.75784,0.02731,0.52613,0.06347,0.04944,1.08727,3.69826,1.15668,0.000103583,0.000103583,0.000103583
2,42.447,1.33951,3.71467,1.73514,0.17672,0.27479,0.11149,0.08361,1.11658,2.98665,1.22895,0.000206887,0.000206887,0.000206887
3,53.5692,1.3262,3.34903,1.70949,0.19316,0.36693,0.17231,0.13071,1.08871,2.68601,1.20445,0.000309158,0.000309158,0.000309158
4,64.7648,1.33894,3.12891,1.72722,0.19825,0.40561,0.23057,0.16598,1.09467,2.69217,1.22749,0.000308352,0.000308352,0.000308352
5,76.0357,1.31868,2.96268,1.71296,0.33868,0.36578,0.31524,0.23056,1.07381,2.18578,1.21008,0.000306803,0.000306803,0.000306803
6,87.2382,1.2693,2.79835,1.65492,0.3089,0.43404,0.33136,0.2471,1.05934,2.13009,1.20458,0.000305253,0.000305253,0.000305253
7,98.3955,1.25101,2.68982,1.65749,0.40818,0.39344,0.38518,0.28718,1.0512,2.00162,1.1745,0.000303704,0.000303704,0.000303704
8,109.795,1.24939,2.60098,1.63643,0.43135,0.50803,0.45209,0.33379,1.07176,1.94617,1.1969,0.000302155,0.000302155,0.000302155
9,121.039,1.22418,2.50582,1.60721,0.44212,0.52837,0.50531,0.38729,0.98821,1.77365,1.14208,0.000300605,0.000300605,0.000300605
10,132.108,1.20088,2.37712,1.5815,0.53127,0.49469,0.51647,0.39595,0.99154,1.7569,1.15105,0.000299056,0.000299056,0.000299056
11,143.286,1.20047,2.34418,1.5666,0.42447,0.61783,0.56967,0.41864,0.98861,1.63601,1.13208,0.000297507,0.000297507,0.000297507
12,154.357,1.20071,2.25929,1.58038,0.55443,0.56252,0.60404,0.4555,0.98994,1.48853,1.13276,0.000295957,0.000295957,0.000295957
13,165.661,1.17432,2.18984,1.54914,0.48773,0.65004,0.61612,0.46882,0.98122,1.47873,1.12363,0.000294408,0.000294408,0.000294408
14,176.89,1.18088,2.12131,1.55088,0.55962,0.59099,0.60275,0.45696,0.99626,1.53618,1.12282,0.000292858,0.000292858,0.000292858
15,188.199,1.13603,2.09108,1.51614,0.58492,0.5142,0.58711,0.44721,1.00011,1.56907,1.1322,0.000291309,0.000291309,0.000291309
16,199.527,1.14705,2.06256,1.51576,0.63896,0.61142,0.63909,0.4944,0.99018,1.44416,1.12083,0.00028976,0.00028976,0.00028976
17,210.722,1.13125,1.9828,1.50172,0.51773,0.73777,0.67866,0.52392,0.96334,1.30909,1.09678,0.00028821,0.00028821,0.00028821
18,221.903,1.10582,1.91308,1.48376,0.55135,0.70948,0.66703,0.51746,0.93973,1.46817,1.09428,0.000286661,0.000286661,0.000286661
19,233.15,1.10411,1.88109,1.4711,0.58834,0.61113,0.61066,0.46275,1.01387,1.63489,1.14186,0.000285112,0.000285112,0.000285112
20,244.253,1.08871,1.88183,1.47351,0.64771,0.63944,0.67005,0.52259,0.98123,1.37817,1.11569,0.000283562,0.000283562,0.000283562
21,255.449,1.08971,1.84798,1.46991,0.6921,0.67452,0.71888,0.55721,0.95281,1.32104,1.10199,0.000282013,0.000282013,0.000282013
22,266.571,1.07528,1.81777,1.4543,0.61234,0.73155,0.71543,0.56261,0.95905,1.26072,1.09541,0.000280464,0.000280464,0.000280464
23,277.904,1.0758,1.79998,1.45432,0.62519,0.65556,0.69226,0.53241,0.96906,1.30615,1.09655,0.000278914,0.000278914,0.000278914
24,289.028,1.07614,1.78326,1.44855,0.62142,0.65632,0.67407,0.52333,0.94135,1.41694,1.07862,0.000277365,0.000277365,0.000277365
25,300.256,1.05728,1.7468,1.44499,0.66661,0.6403,0.71064,0.54944,0.94136,1.30402,1.08735,0.000275816,0.000275816,0.000275816
26,311.408,1.05074,1.67937,1.43505,0.70056,0.66536,0.73462,0.57606,0.93618,1.2482,1.07339,0.000274266,0.000274266,0.000274266
27,322.554,1.05729,1.70177,1.43608,0.7352,0.72418,0.77304,0.60249,0.92252,1.11391,1.06875,0.000272717,0.000272717,0.000272717
